divyanshjain@Divyanshs-MacBook-Air Orbitronix % python3 bayesian_optimisation_2.py
|   iter    |  target   |  allowed  | arg_pe... | inclin... |   raan    | semi_m... |
| 106       | 1.024e+03 | False     | 51.63     | -16.86    | 6.6       | 6.698e+03 |
| 107       | 1.024e+03 | True      | 165.1     | -15.47    | 10.0      | 6.973e+03 |
| 108       | 1.024e+03 | False     | 142.1     | 9.878     | 162.9     | 6.851e+03 |
| 109       | 1.024e+03 | False     | 172.1     | -1.04     | 289.1     | 6.832e+03 |
| 110       | 1.024e+03 | False     | 325.7     | -18.52    | 278.6     | 6.721e+03 |
| 111       | 1.024e+03 | True      | 222.7     | -19.59    | 193.9     | 6.672e+03 |
| 112       | 1.024e+03 | False     | 342.4     | 16.22     | 286.5     | 7.037e+03 |
| 113       | 1.024e+03 | False     | 52.4      | -13.69    | 67.55     | 6.92e+03  |
| 114       | 1.024e+03 | False     | 326.1     | 19.6      | 256.0     | 6.964e+03 |
| 115       | 1.024e+03 | False     | 327.3     | -3.965    | 89.95     | 6.74e+03  |
| 116       | 1.024e+03 | False     | 43.0      | 12.5      | 52.85     | 6.777e+03 |
| 117       | 1.024e+03 | False     | 294.9     | -7.577    | 353.7     | 6.778e+03 |
| 118       | 1.024e+03 | False     | 192.1     | -7.421    | 327.9     | 6.818e+03 |
| 119       | 1.024e+03 | False     | 156.1     | 0.4917    | 338.0     | 6.683e+03 |
| 120       | 1.024e+03 | False     | 258.1     | 15.64     | 9.823     | 6.88e+03  |
| 121       | 1.024e+03 | False     | 117.4     | 14.38     | 201.1     | 6.947e+03 |
| 122       | 1.024e+03 | False     | 163.0     | 5.132     | 104.4     | 6.675e+03 |
| 123       | 1.024e+03 | False     | 207.6     | -7.542    | 186.2     | 7.038e+03 |
| 124       | 1.024e+03 | False     | 153.5     | -10.1     | 133.7     | 7.044e+03 |
| 125       | 1.024e+03 | False     | 337.3     | 13.77     | 331.3     | 6.762e+03 |
| 126       | 1.024e+03 | False     | 31.49     | -10.91    | 113.2     | 6.741e+03 |
| 127       | 1.024e+03 | True      | 218.6     | -3.457    | 293.9     | 6.745e+03 |
| 128       | 1.024e+03 | False     | 252.7     | -10.39    | 206.7     | 6.811e+03 |
| 129       | 1.024e+03 | False     | 20.51     | -10.85    | 239.1     | 6.87e+03  |
| 130       | 1.024e+03 | False     | 186.8     | -13.01    | 205.5     | 7.07e+03  |
| 131       | 1.024e+03 | False     | 294.1     | 3.775     | 351.4     | 7.032e+03 |
| 132       | 1.024e+03 | False     | 214.4     | -18.7     | 33.69     | 6.697e+03 |
| 133       | 1.024e+03 | False     | 162.6     | -4.983    | 351.1     | 6.738e+03 |
| 134       | 1.024e+03 | False     | 350.2     | 10.7      | 296.7     | 6.924e+03 |
| 135       | 1.024e+03 | False     | 240.7     | -0.9247   | 4.729     | 6.812e+03 |
| 136       | 1.024e+03 | False     | 177.1     | 9.204     | 168.7     | 6.854e+03 |
| 137       | 1.024e+03 | False     | 49.56     | -19.56    | 273.0     | 6.799e+03 |
| 138       | 1.024e+03 | False     | 354.4     | -11.19    | 121.9     | 6.881e+03 |
| 139       | 1.024e+03 | False     | 271.8     | -1.446    | 44.94     | 6.796e+03 |
| 140       | 1.024e+03 | False     | 181.6     | 6.954     | 277.3     | 6.723e+03 |
| 141       | 1.024e+03 | False     | 8.249     | 0.7633    | 291.6     | 6.676e+03 |
| 142       | 1.024e+03 | False     | 242.1     | 7.472     | 161.7     | 7.037e+03 |
| 143       | 1.024e+03 | False     | 232.0     | -19.79    | 174.4     | 7.015e+03 |
| 144       | 1.024e+03 | False     | 298.9     | 5.966     | 242.5     | 6.902e+03 |
| 145       | 1.024e+03 | False     | 98.68     | 2.421     | 241.8     | 6.812e+03 |
| 146       | 1.024e+03 | True      | 308.1     | -12.2     | 269.0     | 6.787e+03 |
| 147       | 1.024e+03 | False     | 278.6     | -2.891    | 290.8     | 6.812e+03 |
